Enter the spring constant (in N/m): 
Enter the mass (in kg): 
Enter the initial displacement (in m): 
Enter the simulation time (in s): 
Enter the time step (in s): 
Time (s)		Position (m)
0.1			-0.0004968662133
0.2			-0.09999506248
0.3			0.001490549574
0.4			0.0999802504
0.5			-0.002484085742
0.6			-0.09995556524
0.7			0.003477376606
0.8			0.09992100942
0.9			-0.004470324078
1			-0.09987658636
1.1			0.005462830103
1.2			0.09982230045
1.3			-0.006454796671
1.4			-0.09975815704
1.5			0.007446125826
1.6			0.09968416247
1.7			-0.008436719673
1.8			-0.09960032405
1.9			0.00942648039
2			0.09950665006
2.1			-0.01041531024
2.2			-0.09940314975
2.3			0.01140311157
2.4			0.09928983333
2.5			-0.01238978684
2.6			-0.099166712
2.7			0.01337523861
2.8			0.09903379792
2.9			-0.01435936958
3			-0.0988911042
3.1			0.01534208255
3.2			0.09873864495
3.3			-0.01632328048
3.4			-0.09857643522
3.5			0.01730286648
3.6			0.09840449103
3.7			-0.01828074382
3.8			-0.09822282935
3.9			0.01925681592
4			0.09803146813
4.1			-0.02023098641
4.2			-0.09783042625
4.3			0.02120315908
4.4			0.09761972359
4.5			-0.02217323793
4.6			-0.09739938093
4.7			0.02314112716
4.8			0.09716942005
4.9			-0.02410673119
5			-0.09692986364
5.1			0.02506995468
5.2			0.09668073537
5.3			-0.0260307025
5.4			-0.09642205984
5.5			0.02698887977
5.6			0.09615386259
5.7			-0.02794439188
5.8			-0.09587617011
5.9			0.02889714447
6			0.09558900981
6.1			-0.02984704346
6.2			-0.09529241006
6.3			0.03079399504
6.4			0.09498640015
6.5			-0.0317379057
6.6			-0.09467101029
6.7			0.03267868223
6.8			0.09434627163
6.9			-0.03361623172
7			-0.09401221623
7.1			0.0345504616
7.2			0.09366887709
7.3			-0.0354812796
7.4			-0.09331628811
7.5			0.03640859382
7.6			0.09295448411
7.7			-0.03733231267
7.8			-0.09258350081
7.9			0.03825234494
8			0.09220337486
8.1			-0.03916859977
8.2			-0.09181414378
8.3			0.04008098669
8.4			0.09141584602
8.5			-0.0409894156
8.6			-0.0910085209
8.7			0.04189379678
8.8			0.09059220866
8.9			-0.04279404093
9			-0.0901669504
9.1			0.04369005916
9.2			0.08973278811
9.3			-0.04458176297
9.4			-0.08928976468
9.5			0.04546906431
9.6			0.08883792384
9.7			-0.04635187557
9.8			-0.08837731022
9.9			0.04723010956
10			0.08790796931
10.1			-0.04810367956
10.2			-0.08742994745
10.3			0.04897249929
10.4			0.08694329184
10.5			-0.04983648298
10.6			-0.08644805055
10.7			0.05069554529
10.8			0.08594427248
10.9			-0.05154960139
11			-0.08543200737
11.1			0.05239856695
11.2			0.08491130582
11.3			-0.05324235813
11.4			-0.08438221925
11.5			0.05408089161
11.6			0.08384479989
11.7			-0.05491408457
11.8			-0.08329910082
11.9			0.05574185475
12			0.08274517594
12.1			-0.05656412039
12.2			-0.08218307993
12.3			0.05738080031
12.4			0.08161286831
12.5			-0.05819181384
12.6			-0.08103459739
12.7			0.05899708091
12.8			0.08044832427
12.9			-0.059796522
13			-0.07985410684
13.1			0.06059005815
13.2			0.07925200378
13.3			-0.06137761101
13.4			-0.07864207456
13.5			0.06215910281
13.6			0.0780243794
13.7			-0.06293445637
13.8			-0.0773989793
13.9			0.06370359512
14			0.07676593602
14.1			-0.06446644312
14.2			-0.07612531207
